missingPattern,prop,b,AUC_semi,AUC_known
create_missing_class_one_data,0.85,3,0.6142331768,0.6810203904
create_missing_class_one_data,0.85,4,0.6080131648,0.6842829696
create_missing_class_one_data,0.85,5,0.6138891928000001,0.6814520136
create_missing_class_one_data,0.85,6,0.6001495031999999,0.6769196064
create_missing_class_one_data,0.85,7,0.6044397879999999,0.67829896
create_missing_class_one_data,0.85,8,0.6139892135999999,0.6814619024
create_missing_class_one_data,0.85,9,0.6096954608,0.6799508992
create_missing_at_random_data,0.9,0,0.68725704,0.7074043567999999
create_missing_at_random_data,0.9,1,0.6888088112000001,0.7086121656
create_missing_at_random_data,0.9,2,0.685837368,0.7024594487999999
create_missing_at_random_data,0.9,3,0.69271404,0.7139454144
create_missing_at_random_data,0.9,4,0.6863387008,0.7063062232
create_missing_at_random_data,0.9,5,0.6904669896,0.70885732
create_missing_at_random_data,0.9,6,0.6910810096,0.7114046303999999
create_missing_at_random_data,0.9,7,0.6901107648,0.7115642152
create_missing_at_random_data,0.9,8,0.6843603512,0.7036982192000001
create_missing_at_random_data,0.9,9,0.6893445175999999,0.7103537304
create_missing_class_one_data,0.9,0,0.5819825895999999,0.6617013368
create_missing_class_one_data,0.9,1,0.5738532511999999,0.6638715263999999
create_missing_class_one_data,0.9,2,0.5715686264,0.6579530592
create_missing_class_one_data,0.9,3,0.5773006664,0.6619926976000001
create_missing_class_one_data,0.9,4,0.5752492416000001,0.660970712
create_missing_class_one_data,0.9,5,0.5846285783999999,0.6679055696
create_missing_class_one_data,0.9,6,0.5674515640000001,0.6560600088
create_missing_class_one_data,0.9,7,0.5792801592,0.663346752
create_missing_class_one_data,0.9,8,0.5771752424,0.6659649343999999
create_missing_class_one_data,0.9,9,0.5683619944,0.6563393112
create_missing_at_random_data,0.95,0,0.6800670128000001,0.7126508048
create_missing_at_random_data,0.95,1,0.6786169624000001,0.7035138672
create_missing_at_random_data,0.95,2,0.6822779448,0.7035793584000001
create_missing_at_random_data,0.95,3,0.682745648,0.7083708096
create_missing_at_random_data,0.95,4,0.6870616808000001,0.7180167544
create_missing_at_random_data,0.95,5,0.6795800975999999,0.7061498751999999
create_missing_at_random_data,0.95,6,0.686243236,0.7110016384
create_missing_at_random_data,0.95,7,0.6804144416,0.7108078928
create_missing_at_random_data,0.95,8,0.6846268447999999,0.7119092704
create_missing_at_random_data,0.95,9,0.6761852872,0.6992775536000001
create_missing_class_one_data,0.95,0,0.5383650375999999,0.6276121783999999
create_missing_class_one_data,0.95,1,0.5410650687999999,0.6311576512
create_missing_class_one_data,0.95,2,0.5464094872,0.6366290232000001
create_missing_class_one_data,0.95,3,0.538429424,0.6310000424
create_missing_class_one_data,0.95,4,0.5414564824,0.6313814656
create_missing_class_one_data,0.95,5,0.5377970072000001,0.632430312
create_missing_class_one_data,0.95,6,0.5402218344,0.6300395272
create_missing_class_one_data,0.95,7,0.5406473775999999,0.6310016296
create_missing_class_one_data,0.95,8,0.5416728599999999,0.6285578808000001
create_missing_class_one_data,0.95,9,0.5381513272,0.6271768872000001
